                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.6394,                0.55015,                0.84276,                0.99605,                      1,                  0.995,                0.86173,                0.57871,                0.53421,                0.78829,               0.001469,               0.001469,               0.001469
                     38,                 0.6238,                0.55861,                0.81917,                0.99657,                      1,                  0.995,                  0.862,                0.56644,                0.50185,                0.78708,              0.0014635,              0.0014635,              0.0014635
                     39,                0.63253,                0.73441,                 0.8437,                0.99836,                      1,                  0.995,                 0.8546,                0.57004,                0.49091,                0.78995,               0.001458,               0.001458,               0.001458
                     40,                 0.6628,                0.52313,                0.84501,                0.99874,                      1,                  0.995,                0.85688,                0.56591,                0.48175,                0.79491,              0.0014525,              0.0014525,              0.0014525
                     41,                  0.632,                0.55834,                0.85407,                 0.9987,                      1,                  0.995,                0.86559,                0.54761,                0.48271,                0.79259,               0.001447,               0.001447,               0.001447
                     42,                0.55003,                0.53926,                0.83291,                 0.9974,                      1,                  0.995,                0.85975,                   0.56,                0.46326,                0.78828,              0.0014415,              0.0014415,              0.0014415
                     43,                0.62889,                0.55902,                 0.8408,                0.99599,                      1,                  0.995,                0.86323,                0.55782,                0.46514,                0.78605,               0.001436,               0.001436,               0.001436
                     44,                 0.5964,                0.52528,                0.82665,                0.99619,                      1,                  0.995,                0.86344,                0.57757,                0.45876,                 0.7872,              0.0014305,              0.0014305,              0.0014305
                     45,                0.64385,                0.53243,                0.84348,                0.99735,                      1,                  0.995,                0.86573,                0.54731,                0.43373,                0.78709,               0.001425,               0.001425,               0.001425
                     46,                0.64963,                0.51143,                0.82969,                 0.9981,                      1,                  0.995,                 0.8597,                0.54814,                0.43959,                0.78746,              0.0014195,              0.0014195,              0.0014195
                     47,                0.62404,                0.51323,                0.82993,                0.99847,                      1,                  0.995,                0.87263,                0.55134,                0.45001,                0.78856,              0.0014139,              0.0014139,              0.0014139
                     48,                0.60153,                0.49959,                 0.8383,                0.99805,                      1,                  0.995,                 0.8497,                0.59025,                0.44845,                0.79251,              0.0014084,              0.0014084,              0.0014084
